,compound1,compound2,compound3,compound4,compound5,compound6,compound7,compound8,compound9,compound10,compound11,compound12,compound13,compound14,compound15,compound16,compound17,compound18,compound19,compound20,compound21,compound22,compound23,compound24,compound25,compound26,compound27,compound28,compound29,compound30
A09,0.03464911799124191,0.03228355410455738,0.009181781245593651,0.018334840252773252,0.09931259750420045,0.009337377995626601,0.0067983325205956055,0.0,0.008878633282729274,0.017859562658952378,0.02451136579281131,0.0041717228933188764,0.1132329657277487,0.0,0.00606153168082978,0.01527938765507815,0.0,0.010077923750358018,0.0,0.0,0.0039176621122199275,0.06704862244732722,0.0,0.015619002229548398,0.19878499068483838,0.0017710121452657458,0.015658285131623408,0.02052621563230527,0.07524861707218218,0.017860229819782216
A10,0.03318842439682395,0.0,0.012652036080258555,0.01938593351310276,0.063099928317892,0.0012351672389814073,0.006290728017338547,0.0,0.007323713824557327,0.018757796822879754,0.04771169683251868,0.0,0.09123848842603187,0.0,0.0,0.017459108954579416,0.003536282446203996,0.010443630058943974,0.0,0.051031025547986386,0.0036197273632125847,0.052911468559045396,0.0,0.0,0.2807638964017336,0.0,0.005164632889993612,0.018484795316446256,0.08948817177971666,0.009917997218011803
A11,0.04254212776472705,0.024944527286017797,0.0,0.01356400822343204,0.16388466742366692,0.0014231541956182888,0.0055086003589875,0.0,0.007949879092542807,0.015776574147023693,0.019313670481845357,0.0013838506803419105,0.09254504932964738,0.0036903101651496887,0.0018916490838549766,0.015841514057550285,0.002936301089176847,0.0,0.003960824552152594,0.04333038644713694,0.0032881862664595673,0.042354813750071656,0.0,0.014749147434685538,0.21529663353088682,0.0044426260752216265,0.003783180619937743,0.017142872288941444,0.07500915842686308,0.018925250166912648
A12,0.0,0.042587809652099705,0.0,0.010118013090682275,0.1823421357874874,0.0,0.0,0.0,0.009874297387468162,0.010408140146242577,0.015408049716617776,0.03365848694110948,0.10962393514768388,0.005651745096074454,0.0030048664263723304,0.017177025727853443,0.0,0.0,0.026279895392896113,0.0,0.0,0.048339976867452984,0.0,0.014808828284311772,0.179912523014379,0.0,0.0,0.031238866290774995,0.05223643631692086,0.0
A13,0.14272821571331315,0.022277194193561035,0.0,0.0129309934527086,0.14203811001338412,0.0,0.005731356021590467,0.0,0.008590632168053253,0.008312068732980196,0.014409590606706471,0.0,0.07862331448218292,0.0,0.0033540296553404366,0.004469039446094469,0.013561001603278949,0.0,0.0023370398252473435,0.04308393550209006,0.0021518635150838098,0.040882642436040596,0.0,0.0,0.17230684717095282,0.0,0.0,0.05508989950897139,0.049172400002407544,0.0
A14,0.0,0.019913943965306394,0.0,0.024464842280580726,0.038961207785031475,0.0020937144838050576,0.009566018264012538,0.0,0.010552407573587993,0.018273561916271396,0.036124134838886136,0.0025307923651985793,0.09907605974625293,0.008778958154118279,0.0018796454619226801,0.028586926947178324,0.004105567057471374,0.015969904023761656,0.005011799524763997,0.08787497704961927,0.0069173186990766815,0.07084929999822397,0.0,0.02359109512116714,0.16799882130478797,0.007987877364718253,0.005604537317718761,0.036796099573164986,0.06724346682455529,0.012500310058870739
A15,0.0,0.0,0.009923988780144305,0.012864781193064804,0.09880461587834097,0.009128098099546376,0.008317170178766849,0.0,0.013390944648892397,0.018066441286718568,0.0,0.005203697258972836,0.08608835650108776,0.0,0.002598848371790455,0.0181650334597625,0.0036505593534291413,0.011874330779643073,0.004456255493624133,0.05966920617972843,0.004895205405227128,0.07436983402994125,0.020686572721691023,0.0,0.22304482053075958,0.007579476135783029,0.009162697489116793,0.023592133401903685,0.06295919301433849,0.017235045789596833
A16,0.1980804972576479,0.0,0.0,0.011099802756821665,0.13649766896011892,0.0008389329247482477,0.004455318135636807,0.0,0.010206280132538346,0.011247658669026543,0.0,0.0013213268709954904,0.10816264512675396,0.0,0.0016070148488878204,0.013649041618941222,0.0028585895054404325,0.0,0.0015352060210998462,0.043560496136456184,0.0,0.04482678834643794,0.0,0.01291623722485661,0.17952721381231596,0.003095361842825742,0.0,0.024287476614172087,0.060000671477194685,0.0
A17,0.0,0.0,0.0,0.018374490596969488,0.049666612150965496,0.0016189556357170977,0.0052184266589893735,0.0,0.01069788686843618,0.031388519228749065,0.0,0.0,0.18425737476866116,0.018930462428979774,0.0017470481393740637,0.0,0.008557221030604027,0.014779228117929928,0.0,0.06935133640012581,0.006725908600068621,0.0,0.0,0.0,0.3626936746774167,0.0014678196344257847,0.006593253447715689,0.02333224345522734,0.0,0.011875642370305311
A18,0.0,0.0,0.0,0.018663145923501684,0.02437591068848468,0.0,0.0,0.0,0.01236580082234819,0.04665038177772357,0.0,0.0008969885187681818,0.274307365826736,0.01597804443957666,0.0,0.0,0.04799157830024157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3587741970557693,0.0,0.005597834367405866,0.0,0.0,0.006764934305786247
