Sample,SoilType,Variety,DateGerm,WCR,DateWCR,#WCRAdded,RootMass(g),ShootMass(g),#WCRRecovered,WCRWeightAvg(mg)
A01,Fallow,Master's Choice,6/7/2021,yes,7/14/2021,19,NA,0.876g,0,NA
A02,Fallow,Master's Choice,6/7/2021,no,7/14/2021,0,2.3968g,1.2108g,NA,NA
A03,Fallow,Master's Choice,6/7/2021,no,7/14/2021,0,0.86g,1.4335g,NA,NA
A04,Fallow,Master's Choice,6/7/2021,no,7/14/2021,0,1.2151g,1.0482g,NA,NA
A05,Fallow,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.2342g,2,4.9085
A06,Fallow,Master's Choice,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA
A07,Fallow,Master's Choice,6/7/2021,no,7/14/2021,0,3.414g,1.9611g,NA,NA
A08,Fallow,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,0.985g,0,NA
B01,Pea,Master's Choice,6/7/2021,no,7/14/2021,0,5.328g,0.9941g,NA,NA
B02,Pea,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.8193g,2,1.1875
B03,Pea,Master's Choice,6/7/2021,no,7/14/2021,0,3.19g,1.2485g,NA,NA
B04,Pea,Master's Choice,6/7/2021,no,7/14/2021,0,3.2538g,1.4763g,NA,NA
B05,Pea,Master's Choice,6/7/2021,no,7/14/2021,0,2.6374g,2.308g,NA,NA
B06,Pea,Master's Choice,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA
B07,Pea,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.0071g,2,1.925
B08,Pea,Master's Choice,6/7/2021,yes,7/14/2021,19,NA,1.2394g,3,1.754
C01,Radish,Master's Choice,6/7/2021,no,7/14/2021,0,2.6257g,0.8298g,NA,NA
C02,Radish,Master's Choice,6/7/2021,no,7/14/2021,0,1.2915g,0.7157g,NA,NA
C03,Radish,Master's Choice,6/7/2021,no,7/14/2021,0,1.4311g,0.7913g,NA,NA
C04,Radish,Master's Choice,6/7/2021,yes,7/14/2021,15,NA,1.3589g,2,2.4115
C05,Radish,Master's Choice,6/7/2021,no,7/14/2021,0,NA,NA,NA,NA
C06,Radish,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,0.897g,2,1.622
C07,Radish,Master's Choice,6/7/2021,no,7/14/2021,0,2.8733g,1.077g,NA,NA
C08,Radish,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,0.8996g,1,0.883
D01,Triticale,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.3162g,2,0.4915
D02,Triticale,Master's Choice,6/7/2021,no,7/14/2021,0,2.6276g,1.4898g,NA,NA
D03,Triticale,Master's Choice,6/7/2021,no,7/14/2021,0,2.572g,1.0897g,NA,NA
D04,Triticale,Master's Choice,6/7/2021,no,7/14/2021,0,2.4306g,1.1353g,NA,NA
D05,Triticale,Master's Choice,6/7/2021,no,7/14/2021,0,2.7386g,0.8054g,NA,NA
D06,Triticale,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,0.8595g,5,0.288
D07,Triticale,Master's Choice,6/7/2021,no,7/14/2021,0,1.5567g,1.0281g,NA,NA
D08,Triticale,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.2594g,3,0.636
E01,Mix,Master's Choice,6/7/2021,no,7/14/2021,0,0.8837g,0.6356g,NA,NA
E02,Mix,Master's Choice,6/7/2021,no,7/14/2021,0,4.5173g,1.3623g,NA,NA
E03,Mix,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,0.9196g,2,0.187
E04,Mix,Master's Choice,6/7/2021,yes,7/14/2021,17,NA,0.8705g,2,0.8015
E05,Mix,Master's Choice,6/7/2021,yes,7/14/2021,20,NA,1.2207g,0,NA
E06,Mix,Master's Choice,6/7/2021,no,7/14/2021,0,3.695g,0.8144g,NA,NA
E07,Mix,Master's Choice,6/7/2021,no,7/14/2021,0,1.7231g,0.8142g,NA,NA
E08,Mix,Master's Choice,6/7/2021,no,7/14/2021,0,1.031g,1.2272g,NA,NA
G01,Fallow,Blue River Organic,6/7/2021,no,7/14/2021,0,0.6842g,1.0549g,NA,NA
G02,Fallow,Blue River Organic,6/7/2021,yes,7/14/2021,16,NA,0.8781g,1,1.61
G03,Fallow,Blue River Organic,6/7/2021,yes,7/14/2021,20,NA,0.9132g,1,2.024
G04,Fallow,Blue River Organic,6/7/2021,no,7/14/2021,0,2.1037g,1.2454g,NA,NA
