treatment,no_eggs
cont,61
cont,20
cont,30
cont,50
cont,109
cont,73
cont,136
cont,179
cont,103
cont,108
cont,4
cont,127
cont,152
cont,178
cont,16
cont,25
cont,35
cont,86
cont,54
cont,99
cont,17
cont,21
cont,67
cont,50
cont,66
cont,72
cont,87
cont,99
cont,23
cont,42
cont,50
cont,99
cont,97
cont,139
risk,61
risk,41
risk,107
risk,102
risk,44
risk,55
risk,8
risk,10
risk,9
risk,49
risk,89
risk,29
risk,32
risk,56
risk,62
risk,34
risk,13
risk,65
risk,34
risk,65
risk,51
risk,7
risk,21
risk,28
risk,71
risk,50
risk,74
risk,32
risk,19
risk,86
risk,51
risk,27
risk,29
risk,64
risk,107
