ID,frequency,temperature,population,sex,year
M33,331.0810811,24.6,COMO,Male,2017
M34,315.9025788,24,COMO,Male,2017
M35,283.4190231,24.2,COMO,Male,2017
M36,319.1027496,24,COMO,Male,2017
M37,383.1450912,33.1,COMO,Male,2017
M25,346.9708891,27.2,COMO,Male,2017
M26,355.0724638,28,COMO,Male,2017
M27,350.2779984,27.1,COMO,Male,2017
M28,360,27,COMO,Male,2017
M29,348.0662983,26.4,COMO,Male,2017
M30,357.9545455,26.6,COMO,Male,2017
M31,342.9237947,27.1,COMO,Male,2017
M32,360.2941176,25.5,COMO,Male,2017
M39,374.0458015,33.7,COMO,Male,2017
M42,374.0458015,29.1,COMO,Male,2017
M43,362.962963,29.2,COMO,Male,2017
M44,385.1528384,29.7,COMO,Male,2017
M45,370.5882353,29.3,COMO,Male,2017
M46,370.2770781,29.8,COMO,Male,2017
M47,407.5785582,29.3,COMO,Male,2017
M48,362.962963,29.6,COMO,Male,2017
M49,360.8837971,29.2,COMO,Male,2017
M50,328.3693224,24.7,COMO,Male,2017
M51,309.4736842,25,COMO,Male,2017
M52,334.0909091,24.7,COMO,Male,2017
M53,334.5978756,24.7,COMO,Male,2017
M54,374.6813934,29.9,COMO,Male,2017
M58,372.1518987,29.9,COMO,Male,2017
M59,322.3684211,27.2,COMO,Male,2017
M60,341.8604651,26.7,COMO,Male,2017
M61,363.8613861,26.6,COMO,Male,2017
M62,371.5248526,26.9,COMO,Male,2017
M63,351.9553073,26.4,COMO,Male,2017
M64,351.1146497,27.1,COMO,Male,2017
M65,336.8983957,27.2,COMO,Male,2017
M66,329.5964126,27,COMO,Male,2017
M67,377.8920308,27.3,COMO,Male,2017
M68,336.6412214,26.9,COMO,Male,2017
M69,346.6981132,26.7,COMO,Male,2017
M70,385.8267717,33.5,COMO,Male,2017
M71,382.1490468,33.5,COMO,Male,2017
M72,361.4754098,30.5,COMO,Male,2017
M73,370.8999159,30.5,COMO,Male,2017
M74,363.561418,30.1,COMO,Male,2017
M75,311.2208892,23.1,COMO,Male,2017
M76,300.4087193,30.6,COMO,Male,2017
M77,395.8707361,27.1,COMO,Male,2017
M78,416.0377358,27.2,COMO,Male,2017
M79,379.1917455,24.6,COMO,Male,2017
M80,328.3693224,24.7,COMO,Male,2017
M82,375,24.7,COMO,Male,2017
M83,327.1513353,24.8,COMO,Male,2017
M84,335.3612167,24.8,COMO,Male,2017
M85,290.7053395,21.6,COMO,Male,2017
M86,296.5702757,20.7,COMO,Male,2017
M87,275.2808989,20.8,COMO,Male,2017
M88,365.0662252,24.5,COMO,Male,2017
M89,312.7659574,24.3,COMO,Male,2017
M90,348.6166008,24.5,COMO,Male,2017
M91,308.6074178,24.7,COMO,Male,2017
M92,298.1744422,25.8,COMO,Male,2017
M93,331.0810811,24.5,COMO,Male,2017
M94,314.5506419,25,COMO,Male,2017
M95,360,30.5,COMO,Male,2017
M96,375.9590793,30.3,COMO,Male,2017
M97,346.9708891,30.2,COMO,Male,2017
M98,376.9230769,29.8,COMO,Male,2017
M99,368.729097,30.5,COMO,Male,2017
M100,386.5030675,30.5,COMO,Male,2017
M101,343.9937598,26.5,COMO,Male,2017
M102,347.7917981,26.6,COMO,Male,2017
M103,324.2647059,26.6,COMO,Male,2017
M104,333.5854766,26.6,COMO,Male,2017
M105,340.0154202,26.7,COMO,Male,2017
M106,361.4754098,26.8,COMO,Male,2017
M107,335.8720487,24.5,COMO,Male,2017
M108,319.7969543,24.4,COMO,Male,2017
M109,332.0783133,24.6,COMO,Male,2017
M111,330.0898204,24.6,COMO,Male,2017
M110,389.5759717,24.7,COMO,Male,2017
M112,304.137931,24.5,COMO,Male,2017
M113,323.7885463,24.4,COMO,Male,2017
M114,332.3285607,24.4,COMO,Male,2017
M115,350.5564388,32.1,COMO,Male,2017
M116,369.0376569,32.3,COMO,Male,2017
M117,373.0964467,32.9,COMO,Male,2017
M118,393.3987511,33.4,COMO,Male,2017
M119,346.9708891,26.8,COMO,Male,2017
M120,341.3312693,27,COMO,Male,2017
M121,326.4248705,27.3,COMO,Male,2017
M122,344.53125,26.8,COMO,Male,2017
M123,300,23.7,COMO,Male,2017
M124,320.7272727,26.5,COMO,Male,2017
M125,354.2168675,29.9,COMO,Male,2017
M126,362.6644737,27.8,COMO,Male,2017
M127,341.3312693,26.9,COMO,Male,2017
F2,328.7645,23.2,COMO,Female,2017
F5,358.424,30.2,COMO,Female,2017
F7,215,30.2,COMO,Female,2017
F8,319.328,29.9,COMO,Female,2017
F15,380.294,30.4,COMO,Female,2017
F22,291.599,20.8,COMO,Female,2017
F23,316.8575,20.8,COMO,Female,2017
F24,319.6655,22,COMO,Female,2017
F26,324.08,27,COMO,Female,2017
F30,340.226,27.5,COMO,Female,2017
F31,215,27.5,COMO,Female,2017
F29,338.1335,27.6,COMO,Female,2017
F11,388.1645,33,COMO,Female,2017
F36,321.5015,24,COMO,Female,2017
F41,421.901,34,COMO,Female,2017
F42,245.0915,20.6,COMO,Female,2017
