rep,time,herbicide,conc
1,0,M,92
2,0,M,118.64
3,0,M,89.58
4,7,M,59.32
5,7,M,62.95
6,7,M,62.95
7,14,M,50.84
8,14,M,53.27
9,14,M,52.06
10,21,M,42.98
11,21,M,39.95
12,21,M,39.95
13,32,M,20.58
14,32,M,19.37
15,32,M,26.63
16,42,M,15.13
17,42,M,23.11
18,42,M,19.51
19,55,M,13.79
20,55,M,8.95
21,55,M,8.95
22,67,M,9.71
23,67,M,8.62
24,67,M,7.96
25,0,MP,119.12
26,0,MP,95.63
27,0,MP,85.57
28,7,MP,75.5
29,7,MP,80.54
30,7,MP,82.21
31,14,MP,46.98
32,14,MP,77.18
33,14,MP,75.5
34,21,MP,60.4
35,21,MP,52.01
36,21,MP,48.65
37,32,MP,31.88
38,32,MP,35.23
39,32,MP,29.36
40,42,MP,37.14
41,42,MP,23.12
42,42,MP,28.15
43,55,MP,18.01
44,55,MP,22.2
45,55,MP,25.56
46,67,MP,12.13
47,67,MP,13.17
48,67,MP,13.01
49,0,MC,123.72
50,0,MC,93.22
51,0,MC,83.05
52,7,MC,86.44
53,7,MC,86.44
54,7,MC,113.56
55,14,MC,69.49
56,14,MC,59.32
57,14,MC,62.71
58,21,MC,58.47
59,21,MC,61.02
60,21,MC,57.62
61,32,MC,49.15
62,32,MC,30.51
63,32,MC,30.51
64,42,MC,33.14
65,42,MC,40.11
66,42,MC,41.19
67,55,MC,23.35
68,55,MC,26.74
69,55,MC,30.13
70,67,MC,24.25
71,67,MC,21.03
72,67,MC,23.08
73,0,MPC,114.58
74,0,MPC,77.08
75,0,MPC,108.33
76,7,MPC,100
77,7,MPC,100
78,7,MPC,112.5
79,14,MPC,104.16
80,14,MPC,91.66
81,14,MPC,85.42
82,21,MPC,68.75
83,21,MPC,72.91
84,21,MPC,79.17
85,32,MPC,60.42
86,32,MPC,31.25
87,32,MPC,41.66
88,42,MPC,47.59
89,42,MPC,46.51
90,42,MPC,39.17
91,55,MPC,35.75
92,55,MPC,37.83
93,55,MPC,27.41
94,67,MPC,23.38
95,67,MPC,28.41
96,67,MPC,18.92
,,,
