Site_Name,Stream_Name ,Date_Collected,Sample_Type,Sample_ID,Running_Number,L_Volume,Vial_Volume,Concentration_Factor ,13-C3_Caffeine,Acetaminophen,Amoxicillin,Ampicillin,Atenolol_MRT,Caffeine,Buspirone,Bifenthrin,Beta_cyfluthrin,Benzophenone_3,Benzophenone_1,Atrazine,Carbamazepine_A,Carbaryl,Chlortetracycline,Erythromycin,DEET,Cyhalothrin,Clothianidin,Clarithromycin,Citalopram,Chlortetracycline,Chlorpyrifos,Esfenvalerate_UNCONF,Fluoxetine,Glyphosate_ND,Ibuprofen_UNCONF,Imidacloprid,Ketoprofen,Malathion,Erythromycin,Metformin,Metoprolol_MRT,Naproxen,Ofloxacin,Oxytetracycline,Sulfadiazine,Sucralose,Simazine,Permethrin,Sulfadimethoxine,Sulfamethazine,Sulfamethoxazole,Tetracycline,Theobromine,Thiamethoxam_d3,Thiamethoxam,Thiacloprid,Trimethoprim_MRT,4_t_Octylphenol,Venlafaxine,Benzylbutyl_phthalate,Bis2ethylhexyl_Dioctylphthlate,Butylparaben,Diethyl_phthalateA,Dipropyl_phthalate,EthylparabenA,Nitrate,N_Blank,TotalN,Nutrient_Sample_ID,TotalP,T_Blank,Total_P,pH,NO3N,NH4N,PO4P,Chloride,Nitrite,Sulfate,Nitrate,Phosphate,11B,23Na,26Mg,27Al,31P,39K ,44Ca,45Sc ,48Ti,55Mn,56Fe ,59Co,60Ni,63Cu,64Zn,75As,78Se,88Sr,89Y,95Mo,111Cd,115In,121Sb,137Ba,140Ce,159Tb,208Pb,45Sc,28Si,45Sc ,31P.16O,59Co,32S.16O,49Ti,S_ppm
Ag_Progress_Days ,Spruce_Creek,6032021,Grab,131-TVFF21,TVFF21-001,938.7,0.632490518,1484.132921,NA,0.0003,NA,NA,NA,0.0107,NA,NA,NA,0.002,0.0002,0.006,0.0001,0.0001,NA,0.0001,0.0005,NA,0.0002,0.0007,0.0019,NA,0.0046,0.0002,0.0014,NA,0.0386,NA,0,0.0001,0.0001,0.0004,0,NA,0.0031,NA,0,NA,0.0001,0.0001,0.0001,NA,NA,NA,0.001,NA,NA,0.0001,0.0003,NA,0.0001,NA,NA,NA,NA,NA,NA,0.72,0.02,1.05,TVFF21-001,0.028,0.01,0.033,,,,,3.67,NA,8.656,6.384,0.0307,0.00732,2.33858,3.37785,0.00123,1.62992,0.80549,21.82884,112,0.00673,0.00108,0.00373,95,0.00029,0.00558,-0.00118,0,0.00008,1.90917,101,0,0,101,0.0003,0.23672,0.00121,100,0,100,0.29968,115,-4.79983,175,3.41274,0.00013,NA
Upper_Spruce_Creek_Church ,Spruce_Creek,6032021,Grab,132-TVFF21,TVFF21-002,629,0.894184576,703.4341867,NA,0.0003,NA,NA,NA,0.0143,NA,NA,NA,0.0009,0,0.0581,0.0004,0.0006,NA,0,0.0013,NA,0.0034,0,0.0003,NA,0.0009,NA,0,NA,0.0119,0,0,0,0,0.0003,NA,0.0011,0.0015,NA,0,NA,0.0003,NA,0,NA,0,NA,0.0049,NA,NA,NA,0.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
George_W_Harvey,Spruce_Creek,6032021,Grab,133-TVFF21,TVFF21-003,987.3,0.887231353,1112.787546,NA,0.0001,NA,NA,NA,0.0046,NA,NA,NA,0.001,0,0.0187,0.0002,0.0001,NA,NA,0.0004,NA,0.0012,NA,NA,NA,0.0008,NA,0,NA,0.0899,0,NA,0,NA,0.0004,NA,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,0.0008,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,2.47,0.02,3.69,TVFF21-003,0.065,0.01,0.087,,,,,8.78,0.083,9.435,13.3772,0.066,0.01103,4.88966,13.06009,0.00132,1.66357,1.92137,29.20344,112,0.00898,0.00749,0.01103,94,0.00057,0.01237,-0.00123,0,0.00008,1.36222,100,0.00003,0,100,0.00046,0.27515,0.00123,98,0,107,0.29219,119,-6.29962,199,4.45902,0.00018,NA
Lower_Warriors_Mark_Run ,Warriors_Mark_Run ,6032021,Grab,134-TVFF21,TVFF21-004,905.7,0.549557522,1648.05314,NA,0.0019,NA,NA,NA,0.1855,NA,NA,NA,0.0026,0.0001,0.0403,0.0002,0.0005,NA,0,0.0018,NA,0.0029,NA,NA,NA,0,NA,0,NA,0.0076,0,0,0,0,0.0022,NA,0.0023,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0072,NA,NA,NA,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,8.55,0.17,8.431,10.6755,0.2424,0.01486,4.85672,11.41144,0.00437,1.77812,4.99313,27.45189,113,0.00862,0.00089,0.0573,96,0.00122,0.01152,0.00068,0.00001,0.00014,1.09208,99,0.00007,0,99,0.00064,0.38087,0.00503,100,0,109,0.2948,118,-5.63622,195,4.19429,0.00024,NA
Upper_Warriors_Mark_Run ,Warriors_Mark_Run ,6032021,Grab,135-TVFF21,TVFF21-005,957.5,0.71011378,1348.375467,NA,NA,NA,NA,NA,0.005,NA,NA,NA,0,0,NA,0.0005,0,0.2038,NA,0.0003,NA,0.0089,NA,0.0001,0.2038,NA,NA,0,NA,NA,0.0003,0.0001,NA,NA,0.0019,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0009,NA,NA,NA,0.0005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,2.18,0.028,2.249,2.994,0.0486,0.014,4.35595,10.64944,0.00348,1.84721,3.02765,26.87661,109,0.00836,0.00178,0.04547,94,0.00082,0.0118,-0.00029,0.00001,0.00011,1.15525,97,0.00004,0,97,0.00058,0.3618,0.00421,97,0,109,0.28678,117,-5.39314,187,3.84015,0.00021,NA
Keith_Nelson,Warriors_Mark_Run ,6032021,Grab,136-TVFF21,TVFF21-006,943.9,1.071302149,881.0772954,NA,NA,NA,NA,NA,0.0043,NA,NA,NA,0.0008,0,0.0619,NA,0.0001,0.204,0,0.0002,NA,0.0061,NA,NA,0.204,0.0001,NA,0,NA,0.0039,0.0003,NA,NA,0,0.0009,NA,NA,0.2401,NA,NA,NA,0.0004,NA,NA,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,7.69,0.056,8.368,10.7296,0.1278,0.01461,4.57393,7.69227,0.00424,1.75898,2.1176,25.20805,106,0.00773,0.00072,0.03673,91,0.00076,0.01192,-0.00026,0,0.00012,1.68626,95,0.00004,0,94,0.00046,0.41057,0.00289,96,0,103,0.29081,115,-5.16747,178,3.70363,0.00018,NA
Halfmoon_Creek_By_Bridge ,Halfmoon_Creek ,6032021,Grab,137-TVFF21,TVFF21-007,941.1,0.835018963,1127.040273,NA,0.0001,NA,NA,NA,0.0062,NA,NA,NA,0.0013,0,NA,0.0029,0.0007,0.2039,NA,0.0003,NA,0.0005,NA,0,0.2039,NA,NA,0,NA,0.0365,0,0,0,NA,0.0003,NA,0.0014,NA,NA,NA,0.0005,0.0005,NA,0,NA,NA,NA,0.0023,NA,NA,0,0.0004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loville,Halfmoon_Creek ,6032021,Grab,138-TVFF21,TVFF21-009,944.1,0.981921618,961.4820396,NA,0.0001,NA,NA,NA,0.0052,NA,NA,NA,0.0001,NA,NA,0,0.0001,NA,NA,0.0003,NA,0.0186,NA,NA,NA,0.0001,NA,NA,NA,0.0627,NA,0.0001,NA,NA,0,NA,0.0006,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0026,NA,NA,NA,0.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,10.42,0.213,9.925,26.592,0.0918,0.02132,5.62141,7.5513,0.00337,1.78174,2.36866,29.1443,108,0.00906,0.00084,0.03896,92,0.0011,0.01279,0.00116,0.00001,0.00012,1.65548,96,0.00004,0,94,0.00068,0.5035,0.00289,97,0,102,0.31162,114,-6.03497,186,4.37981,0.00021,NA
Halfmoon_Creek_After_Confluence ,Halfmoon_Creek ,6032021,Grab,139-TVFF21,TVFF21-008,914,0.849936789,1075.374089,NA,0.0014,NA,NA,NA,0.0253,NA,NA,NA,0.0018,0.0001,NA,0.002,0.0004,NA,NA,0.0007,NA,0.0027,NA,0.0001,NA,NA,NA,0,NA,0.0734,NA,0,NA,NA,NA,NA,0.0005,NA,NA,NA,NA,0.0007,NA,NA,NA,NA,NA,0.0024,NA,NA,NA,0.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ag_Progress_Days ,Spruce_Creek,6172021,Grab,140-TVFF21,TVFF21-010,1046.2,0.879266751,1189.855068,NA,0.0003,NA,NA,NA,0.004,NA,NA,NA,0.0009,NA,0.0028,NA,0.0002,NA,NA,0.0009,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0784,NA,0,NA,NA,NA,NA,0.0003,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.02,1.61,TVFF21-010,0.109,0.01,0.154,,,,,3.41,NA,8.534,6.6254,0.1477,0.00816,2.06714,2.93871,0.00137,1.62957,0.93233,21.33826,109,0.00663,0.00156,0.00471,93,0.00069,0.00684,-0.00121,0,0.00009,1.55671,97,0,0,99,0.0003,0.24218,0.00089,99,0,99,0.29197,112,-4.65157,168,3.37313,0.00012,NA
