lat,lon,res.time,secchi,tn,tp,state,SurLand
42.547393,-73.174249,6.395493511,2.311,NA,24.01,Massachusetts,forest
41.684786,-70.973289,55.86192284,0.636666667,840,35.33333333,Massachusetts,forest
41.728276,-70.119664,2.995428652,1.625,350,35,Massachusetts,forest
42.182661,-73.19624,8.113740807,4.4,380,11,Massachusetts,forest
42.005232,-70.837204,3.570146659,1.95,592,27.375,Massachusetts,other
42.542863,-72.957343,5.471628489,2.4,243,7.333333333,Massachusetts,forest
40.410131,-74.241347,48.25038711,0.6,1469,426,New Jersey,other
41.18085,-74.432795,6.155303469,0.9,395,38.41,New Jersey,forest
40.858514,-74.98477,25.20247555,0.7,829,31,New Jersey,forest
41.317249,-74.667079,2.045746484,1.5,640,38.41,New Jersey,forest
40.43388,-74.470636,47.47649624,1.1,675,16,New Jersey,other
39.817545,-75.010837,343.9488945,0.5,1115,62.56,New Jersey,other
47.763349,-91.608448,4.480533014,1.8,561,23,Minnesota,forest
44.08664,-93.484629,2.633206471,0.929411765,1380,163.5,Minnesota,other
41.234981,-85.984903,0.975932633,2.725,1864.5,14.5,Indiana,other
45.303439,-93.904424,1.818927936,3.7364,832.5,25.08333333,Minnesota,other
46.302301,-92.884432,46.39775565,1.8,720,80,Minnesota,other
39.099538,-87.144874,16.41876877,5,278,23,Indiana,forest
44.085536,-93.060396,6.277347987,0.378571429,2065,168.5,Minnesota,agricultural
44.785811,-93.741682,89.02709257,0.757666667,2990,413,Minnesota,agricultural
43.557455,-73.453044,20.49966283,0.379487179,246,53.38461538,New York,forest
43.734081,-94.747023,1.539475349,0.65625,2837.5,163.5,Minnesota,agricultural
45.340681,-92.901583,1.474025508,3.147692308,1716,32,Minnesota,other
45.335241,-94.710318,5.915073225,2.151538462,2230,309.3333333,Minnesota,agricultural
45.365131,-92.897921,0.753169494,1.821538462,2371,38,Minnesota,other
39.261006,-86.390766,28.31405388,6,859,46,Indiana,forest
43.973548,-94.647752,20.4226708,1.05,3453.333333,63.66666667,Minnesota,agricultural
44.949828,-93.707677,1.8508206,4.55,490,10,Minnesota,forest
46.982519,-93.595444,155.4381308,2.32,845,40.33333333,Minnesota,forest
44.90023,-93.269152,22.78301588,0.45744186,918.1470588,190,Minnesota,other
44.414672,-93.343988,14.22383278,0.709655172,4218,377.2307692,Minnesota,agricultural
44.961156,-93.561972,27.77957993,0.907560976,2123,154.5454545,Minnesota,other
45.075715,-93.24383,10.61509379,1.453809524,1330.888889,78.84313725,Minnesota,other
47.921984,-91.747363,5.174121231,1.52,566.6666667,15.66666667,Minnesota,other
45.360402,-92.870587,2.568010868,1.915757576,1451,72,Minnesota,other
47.578984,-91.082598,2.252323985,3,330,48,Minnesota,forest
45.312781,-92.936692,23.60614008,1.545777778,1323.333333,188,Minnesota,other
47.870349,-91.792153,5.440356834,1.590833333,650,24.16666667,Minnesota,other
44.40771,-68.268379,19.64959279,3.444,213.5714286,8.881818182,Maine,forest
44.03702,-91.636559,4.851428721,0.95,1343.333333,84,Minnesota,other
45.338482,-94.533458,139.4118535,1.366428571,3930,169,Minnesota,agricultural
46.870291,-93.988464,2.384383472,4.005714286,796.6666667,22.33333333,Minnesota,forest
47.950005,-91.743686,3.724358507,1.567857143,500,12,Minnesota,other
44.195833,-93.896262,6.302357677,0.285,4600,239,Minnesota,agricultural
46.871441,-95.856773,3.535153885,3.302622951,982,30.4,Minnesota,other
44.042826,-91.658025,20.83817507,1.1375,1483.333333,110,Minnesota,other
47.639589,-91.126767,3.427511448,3.8,620,29,Minnesota,forest
47.529341,-92.15201,144.611,1.02,930,23,Minnesota,other
47.605217,-91.075523,2.208998955,3.5,505.225,17.75,Minnesota,forest
47.609995,-93.4443,9.520624952,1.4,690.5,31,Minnesota,forest
45.007392,-93.06116,10.26098453,1.136617647,2200,121.1428571,Minnesota,other
47.657965,-96.165536,3.092597198,1.094761905,1727.5,44.14285714,Minnesota,other
45.77973,-94.75067,3.88061888,3.171052632,815,29.13333333,Minnesota,agricultural
45.408237,-92.829469,3.606074611,1.170909091,1874,108,Minnesota,agricultural
44.164231,-95.946695,2.239298779,0.330555556,2523.333333,160.6666667,Minnesota,agricultural
46.131941,-91.610505,23.57350641,0.9,1296,44.5,Wisconsin,forest
47.007177,-93.592188,5.591056304,3.605555556,613.3333333,24.66666667,Minnesota,forest
47.658014,-95.023452,4.586772162,3.429565217,705,21,Minnesota,forest
39.849428,-86.308674,83.25770984,0.8,1990.333333,68.66666667,Indiana,agricultural
45.471301,-93.946014,284.827363,0.5902,2590,244.25,Minnesota,agricultural
46.067083,-94.391899,7.732628376,2.277368421,970,35,Minnesota,other
44.983699,-92.886923,7.445709137,4.113278689,775,31.2,Minnesota,agricultural
39.572346,-84.748952,106.5477182,0.629405864,4938.3323,114.6457143,Ohio,agricultural
40.802473,-73.999643,71.50321804,2.7,648,28,New Jersey,other
39.387036,-83.89311,44.36376654,2.994,1797.81332,74.4,Ohio,agricultural
46.91959,-94.892081,5.755965802,2.918235294,343.3333333,27.33333333,Minnesota,forest
46.347559,-95.659102,0.695819258,3.498285714,935,21,Minnesota,other
39.728795,-86.93672,31.8063326,1.6,937,75.5,Indiana,agricultural
45.101078,-91.291988,26.45490101,0.9,1511,113.3333333,Wisconsin,other
38.927061,-82.35187,5.628944193,0.79,849,47.1,Ohio,forest
46.946665,-94.343494,1.867121591,3.95,493.3333333,18.33333333,Minnesota,forest
46.748247,-95.983292,7.222661456,3.7468,1440,6,Minnesota,other
46.660078,-94.044101,0.914499256,3.30173913,593.3333333,25.33333333,Minnesota,forest
46.777788,-94.04748,25.88513434,2.63952381,680,18,Minnesota,forest
44.344845,-68.238926,13.41041736,9.296666667,132.4666667,4.144444444,Maine,forest
44.392626,-93.323845,16.85012256,1.192333333,2467.333333,70.9047619,Minnesota,agricultural
45.888476,-94.689701,5.516760842,1.127777778,1287.142857,65.28571429,Minnesota,agricultural
43.855014,-95.598835,2.760420178,0.74,4105,229.6666667,Minnesota,agricultural
39.364713,-74.578113,273.1884762,0.4,618,196.83,New Jersey,other
46.151467,-86.743598,4.144847293,4.6,302,8,Michigan,forest
44.404672,-96.358175,4.353344189,1.145483871,2461.333333,299,Minnesota,agricultural
44.39803,-93.627174,2.662474674,0.831333333,2660,132,Minnesota,agricultural
46.071954,-92.504587,1.472883582,3.646428571,584.25,19.21052632,Minnesota,forest
45.389728,-95.569662,26.3379079,0.205,2380,142.25,Minnesota,agricultural
42.424922,-83.894321,48.81418393,5.2,559,8,Michigan,other
42.119468,-85.792538,3.237992606,2.8288,634,11,Michigan,other
46.399858,-95.66238,0.833166508,3.255882353,622.5,28.53333333,Minnesota,agricultural
39.179778,-87.244081,16.29897815,1.642857143,935.2857143,67,Indiana,forest
42.580733,-83.431602,6.644543657,4.9,524,8,Michigan,other
45.141915,-93.739015,3.516070892,2.3975,2300,79.5,Minnesota,other
43.443196,-85.267635,8.375564205,0.8,1671,51.4,Michigan,other
45.964629,-94.149596,12.06245753,2.912857143,630,16,Minnesota,agricultural
45.067009,-92.648596,9.444089517,2.804315789,640.9047619,14.715,Wisconsin,agricultural
44.274475,-93.826179,1.715255799,0.89792,3026.666667,89.33333333,Minnesota,agricultural
41.907209,-85.799826,33.30639213,3.6,575,12,Michigan,other
46.295483,-95.551057,8.012107778,3.614468085,840,27.1,Minnesota,agricultural
40.340521,-81.177694,20.31346957,0.927574194,669.1932694,32.81666667,Ohio,forest
40.18835,-83.965623,13.88295738,0.478,1574.178583,121,Ohio,agricultural
42.194898,-73.452129,13.11634745,3.1,330,12,Massachusetts,forest
