site,plant_species,aphid_count
Site_1,Asclepias_syriaca,0
Site_1,Asclepias_tuberosa,7
Site_1,Asclepias_tuberosa,17
Site_1,Asclepias_syriaca,25
Site_1,Asclepias_incarnata,37
Site_1,Asclepias_incarnata,1
Site_1,Asclepias_incarnata,12
Site_1,Asclepias_tuberosa,10
Site_1,Asclepias_syriaca,6
Site_1,Asclepias_tuberosa,3
Site_1,Asclepias_incarnata,6
Site_1,Asclepias_tuberosa,20
Site_1,Asclepias_tuberosa,7
Site_1,Asclepias_incarnata,22
Site_1,Asclepias_incarnata,7
Site_1,Asclepias_incarnata,5
Site_1,Asclepias_syriaca,19
Site_1,Asclepias_syriaca,20
Site_1,Asclepias_syriaca,16
Site_1,Asclepias_incarnata,12
Site_2,Asclepias_syriaca,2
Site_2,Asclepias_incarnata,3
Site_2,Asclepias_incarnata,6
Site_2,Asclepias_syriaca,0
Site_2,Asclepias_syriaca,6
Site_2,Asclepias_tuberosa,5
Site_2,Asclepias_incarnata,2
Site_2,Asclepias_syriaca,20
Site_2,Asclepias_syriaca,4
Site_2,Asclepias_incarnata,1
Site_2,Asclepias_syriaca,10
Site_2,Asclepias_incarnata,2
Site_2,Asclepias_incarnata,9
Site_2,Asclepias_tuberosa,3
Site_2,Asclepias_tuberosa,1
Site_2,Asclepias_tuberosa,8
Site_2,Asclepias_syriaca,9
Site_2,Asclepias_incarnata,0
Site_2,Asclepias_syriaca,13
Site_2,Asclepias_syriaca,5
Site_3,Asclepias_incarnata,20
Site_3,Asclepias_syriaca,5
Site_3,Asclepias_incarnata,22
Site_3,Asclepias_tuberosa,24
Site_3,Asclepias_incarnata,19
Site_3,Asclepias_syriaca,5
Site_3,Asclepias_syriaca,25
Site_3,Asclepias_syriaca,7
Site_3,Asclepias_syriaca,40
Site_3,Asclepias_incarnata,20
Site_3,Asclepias_tuberosa,0
Site_3,Asclepias_tuberosa,4
Site_3,Asclepias_tuberosa,3
Site_3,Asclepias_tuberosa,6
Site_3,Asclepias_syriaca,7
Site_3,Asclepias_tuberosa,1
Site_3,Asclepias_incarnata,7
Site_3,Asclepias_incarnata,34
Site_3,Asclepias_incarnata,33
Site_3,Asclepias_syriaca,0
Site_4,Asclepias_syriaca,39
Site_4,Asclepias_incarnata,29
Site_4,Asclepias_tuberosa,11
Site_4,Asclepias_syriaca,11
Site_4,Asclepias_incarnata,13
Site_4,Asclepias_syriaca,42
Site_4,Asclepias_incarnata,4
Site_4,Asclepias_tuberosa,6
Site_4,Asclepias_incarnata,2
Site_4,Asclepias_tuberosa,12
Site_4,Asclepias_tuberosa,19
Site_4,Asclepias_incarnata,46
Site_4,Asclepias_incarnata,8
Site_4,Asclepias_tuberosa,0
Site_4,Asclepias_tuberosa,4
Site_4,Asclepias_tuberosa,53
Site_4,Asclepias_tuberosa,20
Site_4,Asclepias_incarnata,26
Site_4,Asclepias_syriaca,8
Site_4,Asclepias_incarnata,5
Site_5,Asclepias_tuberosa,3
Site_5,Asclepias_syriaca,5
Site_5,Asclepias_syriaca,6
Site_5,Asclepias_incarnata,2
Site_5,Asclepias_syriaca,5
Site_5,Asclepias_syriaca,6
Site_5,Asclepias_tuberosa,3
Site_5,Asclepias_syriaca,16
Site_5,Asclepias_tuberosa,1
Site_5,Asclepias_syriaca,8
Site_5,Asclepias_incarnata,18
Site_5,Asclepias_tuberosa,4
Site_5,Asclepias_tuberosa,4
Site_5,Asclepias_syriaca,13
Site_5,Asclepias_tuberosa,3
Site_5,Asclepias_syriaca,1
Site_5,Asclepias_syriaca,3
Site_5,Asclepias_syriaca,7
Site_5,Asclepias_incarnata,7
Site_5,Asclepias_incarnata,14
